"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 24 20:08:46 IST 2023","Fri Nov 24 20:08:46 IST 2023","211","chromium","playWrightTest.spec.js","","","","only Playwright",""
"failed","Fri Nov 24 20:08:46 IST 2023","Fri Nov 24 20:08:46 IST 2023","195","chromium","playWrightTest.spec.js","","","","first Playwright",""
